IdSkill,id,Skill,Nombre,TipoSkill
calidad,1116460445,calidad,Calidad/QA,HardSkill
calidad,1116460289,calidad,Calidad/QA,HardSkill
calidad,1116460181,calidad,Calidad/QA,HardSkill
calidad,1116459977,calidad,Calidad/QA,HardSkill
calidad,1116459111,calidad,Calidad/QA,HardSkill
calidad,1116458527,calidad,Calidad/QA,HardSkill
calidad,1116457366,calidad,Calidad/QA,HardSkill
calidad,1116456944,calidad,Calidad/QA,HardSkill
calidad,1116456572,calidad,Calidad/QA,HardSkill
calidad,1116456085,calidad,Calidad/QA,HardSkill
calidad,1116456004,calidad,Calidad/QA,HardSkill
calidad,1116291060,calidad,Calidad/QA,HardSkill
calidad,1116236919,calidad,Calidad/QA,HardSkill
calidad,1116454955,calidad,Calidad/QA,HardSkill
calidad,1116453997,calidad,Calidad/QA,HardSkill
calidad,1116453350,calidad,Calidad/QA,HardSkill
calidad,1116452563,calidad,Calidad/QA,HardSkill
calidad,1116452557,calidad,Calidad/QA,HardSkill
calidad,1116448281,calidad,Calidad/QA,HardSkill
calidad,1116447914,calidad,Calidad/QA,HardSkill
calidad,1116447304,calidad,Calidad/QA,HardSkill
calidad,1116463231,calidad,Calidad/QA,HardSkill
calidad,1116463223,calidad,Calidad/QA,HardSkill
calidad,1116462837,calidad,Calidad/QA,HardSkill
calidad,1116462803,calidad,Calidad/QA,HardSkill
calidad,1116462670,calidad,Calidad/QA,HardSkill
calidad,1116462613,calidad,Calidad/QA,HardSkill
calidad,1116462519,calidad,Calidad/QA,HardSkill
calidad,1116462158,calidad,Calidad/QA,HardSkill
calidad,1116461918,calidad,Calidad/QA,HardSkill
calidad,1116461651,calidad,Calidad/QA,HardSkill
calidad,1116461628,calidad,Calidad/QA,HardSkill
calidad,1116461200,calidad,Calidad/QA,HardSkill
calidad,1116461092,calidad,Calidad/QA,HardSkill
calidad,1116460982,calidad,Calidad/QA,HardSkill
calidad,1116460372,calidad,Calidad/QA,HardSkill
calidad,1116459938,calidad,Calidad/QA,HardSkill
calidad,1116459781,calidad,Calidad/QA,HardSkill
calidad,1116459684,calidad,Calidad/QA,HardSkill
calidad,1116459676,calidad,Calidad/QA,HardSkill
calidad,1116459392,calidad,Calidad/QA,HardSkill
calidad,1116459022,calidad,Calidad/QA,HardSkill
calidad,1116459012,calidad,Calidad/QA,HardSkill
calidad,1116458982,calidad,Calidad/QA,HardSkill
calidad,1116458911,calidad,Calidad/QA,HardSkill
calidad,1116458743,calidad,Calidad/QA,HardSkill
calidad,1116458468,calidad,Calidad/QA,HardSkill
calidad,1116458439,calidad,Calidad/QA,HardSkill
calidad,1116458361,calidad,Calidad/QA,HardSkill
calidad,1116458347,calidad,Calidad/QA,HardSkill
calidad,1116458273,calidad,Calidad/QA,HardSkill
